1976.94592285, 3060.4699707, 882.981140137, 97.4675827026, 1442.37963867
1804.29162598, -406.293243408, 807.199279785, 1525.7989502, 1522.92797852
1804.29162598, -406.293243408, 807.199279785, 1525.7989502, 1522.92797852
1780.61523438, 1944.58642578, 804.602539062, 1530.17297363, 1529.46972656
1780.76928711, 1935.7401123, 803.383789062, 1531.69152832, 1531.75097656
1781.16723633, 1944.72912598, 804.155273438, 1530.65478516, 1530.03735352
1975.5168457, 3062.78808594, 883.210998535, 97.5679779053, -0.444181352854
1986.15466309, 3057.33911133, 883.375549316, 96.8492889404, -0.559407234192
1810.35534668, 2323.56298828, 806.961791992, 1520.17944336, 76.9383239746
1784.28686523, 1944.32116699, 804.473449707, 1530.11999512, 89.2507019043
1784.28088379, 1939.54736328, 804.047241211, 1530.47851562, 89.6740264893
1784.87145996, 1936.48205566, 803.247924805, 1531.63244629, 91.6617736816
1783.73742676, 1941.97253418, 804.077026367, 1530.48754883, 89.5864181519
1781.70361328, 1943.67126465, 804.733459473, 63.205657959, 89.2407455444
1781.45458984, 1939.12854004, 804.265258789, 63.6940231323, 89.6663665771
1782.68811035, 1941.34460449, 804.232543945, 63.6815071106, 89.6357727051
519.620178223, 183.187026978, 974.346130371, 805.917907715, 389.354431152
777.690551758, 2003.95959473, 1022.47412109, 736.623535156, 278.057983398
171.240905762, 2836.73632812, 1062.39306641, 716.566040039, 297.222869873
1980.51025391, 407.572265625, 883.213928223, 98.0133209229, 1560.65686035
1978.00720215, 3059.0012207, 882.925109863, 97.5408706665, 1442.07556152
1981.95141602, 401.356811523, 883.070922852, 97.3916168213, 110.855133057
1980.40405273, 3061.02587891, 997.846923828, 97.7461166382, -0.356767296791
1977.31604004, 3061.59204102, 883.19708252, 97.5755004883, -0.415331870317
1635.97424316, 3560.30102539, 873.985717773, -34.4087867737, -60.4389572144
1784.28088379, 1939.54736328, 804.047241211, 1530.47851562, 89.6740264893
1781.45458984, 1939.12854004, 804.265258789, 63.6940231323, 89.6663665771
1780.77868652, 1942.1237793, 804.171936035, 1530.6204834, 1530.0456543
416.43560791, 2807.97167969, 1062.18322754, 716.843261719, 297.565582275
